external_id,location_name,property_name,country,address,title,description
PROP-0239,Melbourne,Designer Melbourne Loft,Australia,352 Market Place,Loft with Balcony,Close to public transportation
PROP-0240,Dubai,Cozy Dubai Residence,UAE,508 High Plaza,Cozy Central Residence,Close to public transportation
PROP-0241,Dubai,Dubai Square Condo,UAE,614 King Place,Premium Central Condo,Close to public transportation
PROP-0242,Dubai,Dubai Square Townhouse,UAE,323 Oak Boulevard,Spacious Townhouse,Walking distance to shops and restaurants
PROP-0243,Dubai,Premium Dubai Studio,UAE,972 Park Drive,Premium Studio in Historic District,Quiet area with easy access to city center
PROP-0244,Dubai,Dubai District Condo,UAE,903 Elm Lane,Stylish Downtown Condo,Fully furnished and ready to move in
PROP-0245,Dubai,Contemporary Dubai Suite,UAE,832 Market Plaza,Contemporary Suite,Near parks and recreational facilities
PROP-0246,Cape Town,Historic Cape Town Apartment,South Africa,891 Main Place,Apartment with High Ceilings,Ideal for short or long term stays
PROP-0247,Cape Town,Downtown Cape Town Apartment,South Africa,607 Oak Lane,Downtown Central Apartment,Recently renovated with modern amenities
PROP-0248,Cape Town,Cape Town Heights Loft,South Africa,797 King Avenue,Waterfront Central Loft,Fully furnished and ready to move in
PROP-0249,Cape Town,Cape Town District Residence,South Africa,819 Queen Square,Historic Residence in Downtown,Recently renovated with modern amenities
PROP-0250,Cape Town,Stylish Cape Town Apartment,South Africa,293 Oak Road,Stylish City Center Apartment,Fully furnished and ready to move in
PROP-0251,Buenos Aires,Buenos Aires District Flat,Argentina,80 Main Street,Urban Historic District Flat,Walking distance to shops and restaurants
PROP-0252,Buenos Aires,Designer Buenos Aires Villa,Argentina,227 King Street,Designer Villa in City Center,Perfect for professionals and families
PROP-0253,Buenos Aires,Modern Buenos Aires Suite,Argentina,246 Main Drive,Modern Central Suite,Fully furnished and ready to move in
PROP-0254,Buenos Aires,Downtown Buenos Aires Condo,Argentina,55 Elm Road,Condo with Great Views,Recently renovated with modern amenities
PROP-0255,Buenos Aires,Designer Buenos Aires Villa,Argentina,699 Market Road,Designer Villa,Recently renovated with modern amenities
PROP-0256,Vancouver,Elegant Vancouver Penthouse,Canada,505 Main Lane,Elegant Penthouse,Recently renovated with modern amenities
PROP-0257,Mexico City,Stylish Mexico City Townhouse,Mexico,805 King Plaza,Townhouse with High Ceilings,Recently renovated with modern amenities
PROP-0258,Rio de Janeiro,Central Rio de Janeiro Flat,Brazil,287 King Lane,Flat with Great Views,Quiet area with easy access to city center
PROP-0259,São Paulo,Historic São Paulo Loft,Brazil,287 Market Place,Historic Loft in City Center,Recently renovated with modern amenities
PROP-0260,Auckland,Spacious Auckland Loft,New Zealand,146 Main Boulevard,Spacious Loft,Recently renovated with modern amenities
PROP-0261,Istanbul,Downtown Istanbul Townhouse,Turkey,735 Elm Avenue,Townhouse with High Ceilings,Close to public transportation
PROP-0262,Cairo,Spacious Cairo Residence,Egypt,894 Main Plaza,Residence with Balcony,Close to public transportation
PROP-0263,Nairobi,Nairobi Square Condo,Kenya,556 Queen Square,Urban Condo in Central,Close to public transportation
PROP-0264,Lagos,Historic Lagos Penthouse,Nigeria,551 Main Place,Historic Penthouse,Recently renovated with modern amenities
PROP-0265,Marrakech,Marrakech Heights Suite,Morocco,330 Oak Street,Spacious Suite in City Center,Excellent connectivity to major attractions
PROP-0266,Hong Kong,Modern Hong Kong Villa,China,462 High Lane,Villa with City Views,Ideal for short or long term stays
PROP-0267,Shanghai,Shanghai District Penthouse,China,613 Queen Way,Charming Penthouse in Central,Excellent connectivity to major attractions
PROP-0268,Beijing,Beijing Heights Residence,China,467 Park Square,Central Residence,Near parks and recreational facilities
PROP-0269,Kuala Lumpur,Downtown Kuala Lumpur Loft,Malaysia,331 Main Way,Downtown Downtown Loft,Near parks and recreational facilities
PROP-0270,Manila,Manila Park Condo,Philippines,622 Park Street,Historic Condo,Excellent connectivity to major attractions
PROP-0271,Lisbon,Luxury Lisbon Studio,Portugal,765 Main Place,Luxury Studio,Walking distance to shops and restaurants
PROP-0272,Stockholm,Waterfront Stockholm Condo,Sweden,122 Queen Place,Waterfront Condo,Walking distance to shops and restaurants
PROP-0273,Copenhagen,Elegant Copenhagen Penthouse,Denmark,932 Main Way,Elegant Penthouse,Excellent connectivity to major attractions
PROP-0274,Oslo,Downtown Oslo Villa,Norway,755 Second Lane,Downtown Central Villa,Located in a vibrant neighborhood
PROP-0275,Helsinki,Helsinki Park Villa,Finland,191 Queen Lane,Premium Villa in City Center,Fully furnished and ready to move in
PROP-0276,Dublin,Dublin Heights Studio,Ireland,518 King Square,Cozy Studio,Fully furnished and ready to move in
PROP-0277,Brussels,Brussels Center Loft,Belgium,608 Second Street,Loft with Modern Kitchen,Ideal for short or long term stays
PROP-0278,Zurich,Zurich Heights Apartment,Switzerland,208 First Plaza,Luxury Apartment,Ideal for short or long term stays
PROP-0279,Warsaw,Warsaw Quarter Residence,Poland,415 Queen Lane,Cozy City Center Residence,Walking distance to shops and restaurants
PROP-0280,Reykjavik,Reykjavik District Suite,Iceland,773 Queen Plaza,Urban Downtown Suite,Quiet area with easy access to city center

PROP-0281,Newcastle,Charming Newcastle Loft,United Kingdom,71 Elm Street,Charming Loft,Perfect for professionals and families
PROP-0282,Newcastle,Newcastle District Loft,United Kingdom,494 Queen Boulevard,Spacious Downtown Loft,Perfect for professionals and families
PROP-0283,New Delhi,Premium New Delhi Penthouse,India,585 Market Road,Penthouse with High Ceilings,Perfect for professionals and families
PROP-0284,New Delhi,New Delhi District Suite,India,165 Second Drive,Suite with Great Views,Near parks and recreational facilities
PROP-0285,New Delhi,Historic New Delhi Flat,India,686 Elm Place,Flat with Natural Light,Fully furnished and ready to move in
PROP-0286,New Orleans,Stylish New Orleans Residence,USA,478 Park Boulevard,Residence with Great Views,Fully furnished and ready to move in
PROP-0287,New Orleans,Waterfront New Orleans Villa,USA,452 Second Place,Waterfront Historic District Villa,Fully furnished and ready to move in
PROP-0288,Newport,Cozy Newport Flat,United Kingdom,393 Oak Avenue,Cozy Downtown Flat,Excellent connectivity to major attractions
PROP-0289,Newport,Newport District Suite,United Kingdom,235 Park Avenue,Suite with Balcony,Fully furnished and ready to move in
PROP-0290,Newton,Newton District Apartment,USA,293 Queen Square,Apartment with Great Views,Near parks and recreational facilities
PROP-0291,Newton,Elegant Newton Suite,USA,543 Second Boulevard,Elegant Suite,Recently renovated with modern amenities
PROP-0292,San Francisco,Stylish San Francisco Apartment,USA,722 King Square,Stylish Apartment,Ideal for short or long term stays
PROP-0293,San Francisco,Premium San Francisco Suite,USA,7 Market Lane,Suite with Great Views,Located in a vibrant neighborhood
PROP-0294,San Francisco,San Francisco Square Loft,USA,303 Main Lane,Designer Loft,Walking distance to shops and restaurants
PROP-0295,San Diego,San Diego Park Apartment,USA,556 King Way,Stylish Apartment in Downtown,Near parks and recreational facilities
PROP-0296,San Diego,Cozy San Diego Residence,USA,349 Main Drive,Residence with Natural Light,Quiet area with easy access to city center
PROP-0297,San Diego,San Diego Center Suite,USA,812 High Way,Urban Central Suite,Near parks and recreational facilities
PROP-0298,San Jose,San Jose Center Townhouse,USA,809 Elm Boulevard,Waterfront Townhouse,Ideal for short or long term stays
PROP-0299,San Jose,Luxury San Jose Loft,USA,983 Market Way,Luxury Loft,Located in a vibrant neighborhood
PROP-0300,San Jose,San Jose Quarter Villa,USA,835 Elm Street,Designer Villa in Downtown,Fully furnished and ready to move in
PROP-0301,Santa Monica,Stylish Santa Monica Condo,USA,510 First Boulevard,Stylish Condo in Downtown,Close to public transportation
PROP-0302,Santa Monica,Santa Monica Center Apartment,USA,604 Second Street,Waterfront City Center Apartment,Perfect for professionals and families
PROP-0303,Santa Monica,Santa Monica Heights Residence,USA,707 Main Avenue,Stylish Downtown Residence,Near parks and recreational facilities
PROP-0304,Santiago,Santiago Quarter Penthouse,Chile,282 Park Street,Penthouse with Rooftop Access,Fully furnished and ready to move in
PROP-0305,Santiago,Spacious Santiago Suite,Chile,176 Second Drive,Suite with Rooftop Access,Recently renovated with modern amenities
PROP-0306,Portland,Modern Portland Apartment,USA,528 Main Lane,Modern City Center Apartment,Located in a vibrant neighborhood
PROP-0307,Portland,Portland Center Apartment,USA,796 Queen Street,Apartment with High Ceilings,Recently renovated with modern amenities
PROP-0308,Porto,Luxury Porto Flat,Portugal,525 Park Drive,Luxury Downtown Flat,Walking distance to shops and restaurants
PROP-0309,Porto,Charming Porto Townhouse,Portugal,574 Main Street,Charming Townhouse,Quiet area with easy access to city center
PROP-0310,Portsmouth,Premium Portsmouth Penthouse,United Kingdom,348 First Square,Premium Downtown Penthouse,Fully furnished and ready to move in
PROP-0311,Portsmouth,Luxury Portsmouth Penthouse,United Kingdom,808 High Square,Penthouse with City Views,Recently renovated with modern amenities
PROP-0312,Port Louis,Modern Port Louis Apartment,Mauritius,401 Market Boulevard,Apartment with Great Views,Ideal for short or long term stays
PROP-0313,Port Louis,Downtown Port Louis Villa,Mauritius,429 High Street,Villa with City Views,Recently renovated with modern amenities
PROP-0314,Port Louis,Port Louis Center Penthouse,Mauritius,950 King Boulevard,Stylish Penthouse,Located in a vibrant neighborhood
PROP-0315,Saint Petersburg,Modern Saint Petersburg Suite,Russia,663 First Place,Modern Central Suite,Walking distance to shops and restaurants
PROP-0316,Saint Petersburg,Contemporary Saint Petersburg Penthouse,Russia,302 Oak Road,Contemporary Penthouse,Perfect for professionals and families
PROP-0317,San Antonio,Cozy San Antonio Loft,USA,161 First Street,Cozy Central Loft,Close to public transportation
PROP-0318,San Antonio,Luxury San Antonio Loft,USA,641 Oak Plaza,Loft with High Ceilings,Located in a vibrant neighborhood
PROP-0319,Santa Cruz,Santa Cruz Park Loft,USA,909 Queen Street,Premium Loft in Historic District,Close to public transportation
PROP-0320,Santa Cruz,Luxury Santa Cruz Townhouse,USA,974 Main Drive,Luxury Townhouse in Downtown,Excellent connectivity to major attractions
PROP-0321,Santa Cruz,Santa Cruz Center Studio,USA,904 High Road,Contemporary Studio in Downtown,Close to public transportation
PROP-0322,Santos,Waterfront Santos Flat,Brazil,526 Main Avenue,Flat with Modern Kitchen,Excellent connectivity to major attractions
PROP-0323,Santos,Central Santos Apartment,Brazil,110 Park Way,Apartment with Modern Kitchen,Excellent connectivity to major attractions
PROP-0324,Georgetown,Georgetown Square Penthouse,Guyana,207 Oak Place,Elegant Penthouse in Central,Located in a vibrant neighborhood
PROP-0325,Georgetown,Designer Georgetown Apartment,Guyana,261 Oak Boulevard,Designer Apartment in City Center,Excellent connectivity to major attractions
PROP-0326,George Town,Historic George Town Penthouse,Malaysia,861 Park Lane,Penthouse with High Ceilings,Near parks and recreational facilities
PROP-0327,George Town,Luxury George Town Apartment,Malaysia,75 Elm Square,Luxury Apartment in City Center,Recently renovated with modern amenities
PROP-0328,George Town,George Town Square Townhouse,Malaysia,177 Oak Avenue,Stylish Historic District Townhouse,Located in a vibrant neighborhood
PROP-0329,Georgia,Central Georgia Penthouse,USA,52 Main Avenue,Penthouse with Rooftop Access,Fully furnished and ready to move in
PROP-0330,Georgia,Georgia Center Suite,USA,45 King Place,Elegant Suite in City Center,Near parks and recreational facilities
PROP-0331,Georgia,Georgia Square Condo,USA,717 Park Drive,Modern City Center Condo,Excellent connectivity to major attractions
PROP-0332,Kingston,Kingston Center Studio,Jamaica,943 King Lane,Studio with Great Views,Located in a vibrant neighborhood
PROP-0333,Kingston,Kingston District Penthouse,Jamaica,649 Park Place,Designer Penthouse,Close to public transportation
PROP-0334,Kingston,Kingston Center Flat,Jamaica,603 King Lane,Cozy Flat,Fully furnished and ready to move in
PROP-0335,Kings Landing,Downtown Kings Landing Townhouse,Canada,188 Second Square,Townhouse with Modern Kitchen,Perfect for professionals and families
PROP-0336,Kings Landing,Kings Landing Heights Condo,Canada,455 Elm Street,Cozy Condo,Recently renovated with modern amenities
PROP-0337,Kings Landing,Designer Kings Landing Flat,Canada,417 Park Way,Flat with Rooftop Access,Recently renovated with modern amenities
PROP-0338,Kingstown,Charming Kingstown Condo,Saint Vincent and the Grenadines,998 Main Place,Charming Historic District Condo,Near parks and recreational facilities
PROP-0339,Kingstown,Charming Kingstown Residence,Saint Vincent and the Grenadines,757 Oak Way,Residence with Natural Light,Located in a vibrant neighborhood
PROP-0340,Las Vegas,Charming Las Vegas Flat,USA,917 Market Lane,Charming Flat,Fully furnished and ready to move in
PROP-0341,Las Vegas,Las Vegas Square Loft,USA,382 Second Plaza,Downtown Loft,Walking distance to shops and restaurants
PROP-0342,Las Vegas,Las Vegas Heights Townhouse,USA,654 Elm Street,Townhouse with City Views,Located in a vibrant neighborhood
PROP-0343,La Paz,La Paz Center Studio,Bolivia,587 High Street,Historic Studio,Perfect for professionals and families
PROP-0344,La Paz,Contemporary La Paz Flat,Bolivia,167 Queen Drive,Contemporary Flat in Central,Walking distance to shops and restaurants
PROP-0345,Manchester,Manchester Square Penthouse,United Kingdom,847 Main Lane,Contemporary Penthouse in Central,Ideal for short or long term stays
PROP-0346,Manchester,Waterfront Manchester Suite,United Kingdom,929 King Square,Waterfront Suite in Central,Walking distance to shops and restaurants
PROP-0347,Manhattan,Central Manhattan Residence,USA,37 Queen Plaza,Central Residence in Downtown,Ideal for short or long term stays
PROP-0348,Manhattan,Premium Manhattan Apartment,USA,395 King Street,Premium Historic District Apartment,Close to public transportation
PROP-0349,Manhattan,Cozy Manhattan Condo,USA,200 King Lane,Cozy Condo in City Center,Excellent connectivity to major attractions
PROP-0350,Cambridge,Urban Cambridge Loft,United Kingdom,559 High Way,Urban Loft,Quiet area with easy access to city center
PROP-0351,Cambridge,Cambridge Quarter Villa,United Kingdom,521 Elm Boulevard,Cozy Downtown Villa,Close to public transportation
PROP-0352,Canberra,Canberra Heights Condo,Australia,189 Park Lane,Historic Central Condo,Quiet area with easy access to city center
PROP-0353,Canberra,Canberra Park Suite,Australia,40 High Plaza,Premium Suite,Ideal for short or long term stays
PROP-0354,Washington DC,Contemporary Washington DC Loft,USA,88 Second Drive,Contemporary Central Loft,Fully furnished and ready to move in
PROP-0355,Washington DC,Washington DC District Townhouse,USA,460 High Square,Spacious Townhouse,Fully furnished and ready to move in
PROP-0356,Washington State,Designer Washington State Penthouse,USA,669 Park Place,Designer Penthouse in Central,Perfect for professionals and families
PROP-0357,Washington State,Cozy Washington State Residence,USA,888 Elm Lane,Cozy Residence,Located in a vibrant neighborhood
PROP-0358,Washington State,Downtown Washington State Loft,USA,94 First Way,Downtown Loft in Central,Walking distance to shops and restaurants
PROP-0359,Victoria,Victoria Heights Condo,Canada,119 Second Place,Cozy City Center Condo,Recently renovated with modern amenities
PROP-0360,Victoria,Luxury Victoria Suite,Canada,817 First Plaza,Luxury Suite in Downtown,Near parks and recreational facilities
PROP-0361,Adelaide,Adelaide Heights Residence,Australia,150 First Avenue,Historic Residence in Central,Fully furnished and ready to move in
PROP-0362,Adelaide,Premium Adelaide Villa,Australia,180 Park Way,Premium Downtown Villa,Excellent connectivity to major attractions
PROP-0363,Adelaide,Adelaide Heights Suite,Australia,265 First Drive,Suite with Natural Light,Perfect for professionals and families
PROP-0364,Addis Ababa,Addis Ababa Center Residence,Ethiopia,624 First Drive,Designer Residence,Ideal for short or long term stays
PROP-0365,Addis Ababa,Cozy Addis Ababa Condo,Ethiopia,835 Second Plaza,Cozy Central Condo,Located in a vibrant neighborhood
PROP-0366,Brisbane,Brisbane District Suite,Australia,793 Elm Lane,Suite with Balcony,Close to public transportation
PROP-0367,Brisbane,Brisbane Center Residence,Australia,613 Market Boulevard,Elegant Residence in City Center,Close to public transportation
PROP-0368,Bristol,Contemporary Bristol Suite,United Kingdom,172 Park Drive,Contemporary Suite,Near parks and recreational facilities
PROP-0369,Bristol,Bristol Heights Townhouse,United Kingdom,718 King Way,Townhouse with City Views,Located in a vibrant neighborhood
PROP-0370,Brighton,Brighton Center Flat,United Kingdom,63 First Drive,Charming Flat in City Center,Excellent connectivity to major attractions
PROP-0371,Brighton,Brighton Center Loft,United Kingdom,189 Park Plaza,Loft with Modern Kitchen,Ideal for short or long term stays
PROP-0372,Brighton,Downtown Brighton Villa,United Kingdom,588 King Square,Downtown Villa,Near parks and recreational facilities
PROP-0373,Denver,Denver District Flat,USA,959 Queen Lane,Stylish Flat,Located in a vibrant neighborhood
PROP-0374,Denver,Denver Heights Suite,USA,19 High Road,Historic Historic District Suite,Close to public transportation
PROP-0375,Detroit,Charming Detroit Villa,USA,679 Elm Plaza,Charming Central Villa,Perfect for professionals and families
PROP-0376,Detroit,Detroit Quarter Townhouse,USA,972 Park Plaza,Elegant Townhouse in Central,Excellent connectivity to major attractions
PROP-0377,Houston,Modern Houston Flat,USA,624 Park Boulevard,Modern Flat,Near parks and recreational facilities
PROP-0378,Houston,Spacious Houston Residence,USA,815 Park Road,Spacious Residence in Downtown,Fully furnished and ready to move in
PROP-0379,Houston,Houston Park Penthouse,USA,307 Market Lane,Spacious Downtown Penthouse,Close to public transportation
PROP-0380,Havana,Elegant Havana Penthouse,Cuba,505 Park Square,Elegant Penthouse,Walking distance to shops and restaurants
PROP-0381,Havana,Contemporary Havana Suite,Cuba,607 First Avenue,Contemporary Downtown Suite,Quiet area with easy access to city center
